Learning rate: 0,001 Height: 2 Width: 2;4
Learning rate: 0,001 Height: 2 Width: 7;14
Learning rate: 0,1909 Height: 2 Width: 2;4
Learning rate: 0,1909 Height: 2 Width: 7;14
Learning rate: 0,3808 Height: 2 Width: 2;4
Learning rate: 0,3808 Height: 2 Width: 7;14
Learning rate: 0,5707 Height: 2 Width: 2;4
Learning rate: 0,5707 Height: 2 Width: 7;14
Learning rate: 0,7606 Height: 2 Width: 2;4
Learning rate: 0,7606 Height: 2 Width: 7;14
